SNE-NG,,,,,,,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Image,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,
,,,,,,,18,2,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GD8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Getac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,cPCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_Troubleshooting,2.5.21.01.00,D,PLM Part Number,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_WAN_Planning,2.5.21.02.02,D,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDC4S,UPS Configuration Tool,5.1,D,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDSATCOM ,M20 Gen III SOTM Gui ,4.1.5 ,V,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDSATCOM ,M20 Gen IV SOTM Gui (app.jar),8.0.8,V,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub,Posh-SSH,2.0.2,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
GitHub,Posh-SSH,3.0.0,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Google,GSON,2.3.1,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,CHIMERA,1.0.2,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,MS SQL Server Standard  (64 Bit),2012 SP4,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,MS SQL Server Standard  (64 Bit),2016 SP2-CU16,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,Tier 3 Download Utility,1.1,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS  (AGM),DoD InstallRoot PKE,5.5,G,PLM Part Number,,,3,,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
GOTS  (AGM),MS Office 2016 AGM,2.0.4,G,PLM Part Number,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (DISA),DoD PKE CRLAutoCache (NIPR/SIPR),4.2,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
GOTS (DISA),Microsoft NetBanner,2.1.161,G,PLM Part Number,,,4,,,,,3,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
GOTS (DISA/Tenable),Nessus ,10.2.0,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (DISA/Tenable),SecurityCenter,5.19 (Patch SC-202206.1-5.x),G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Kibana,0.8.2,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Elasticsearch,0.8.2,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Logstash,0.8.2,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Beats,0.8.2,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
